,distrito/ciudad,Latitud,Longitud
0,Alameda de Osuna,40.4575814,-3.5879745
1,Alcalá de Henares,40.4818396,-3.3644973
2,Alcobendas,40.5400082,-3.6358494
3,Alcorcón,40.3492998,-3.8284295
4,Almendrales,40.3843762,-3.6992931
5,Aluche,40.392356,-3.7571096
6,Aranjuez,40.03221,-3.6039604
7,Arganda del Rey,40.3007708,-3.4380688
8,Arroyomolinos,40.27,-3.9178
9,Barajas,40.4733176,-3.5798446
10,Bellas Vistas,40.4526848,-3.7072395999999994
11,Berruguete,40.4602706,-3.7043452
12,Boadilla del Monte,40.4053485,-3.8764663
13,Brunete,40.4050499,-3.9979912
14,Camarma de Esteruelas,40.5490368,-3.3786211
15,Canillas,40.4618893,-3.6433517
16,Canillejas,40.4416267,-3.6093074
17,Carabanchel,40.3742112,-3.744676
18,Casa de Campo,40.4241907,-3.755858019564672
19,Casco Histórico de Vallecas,40.3773477,-3.6217118
20,Castillejos,40.4598788,-3.694067
21,Chamartín,40.4685,-3.6809999999999996
22,Ciempozuelos,40.1580087,-3.6205513999999996
23,Ciudad Lineal,40.4484305,-3.6504950000000003
24,Collado Villalba,40.6431496,-3.9930128
25,Colmenar Viejo,40.6587726,-3.7659722
26,Comillas,40.392999999999994,-3.712
27,Concepción,40.4395,-3.6479
28,Cortes,40.4149,-3.6973
29,Coslada,40.423801999999995,-3.5552882
30,Cuatro Vientos,40.37789529999999,-3.7919717
31,Daganzo de Arriba,40.5451953,-3.45785
32,Embajadores,40.4095856,-3.7029851000000003
33,Entrevías,40.379044900000004,-3.6717573
34,Fuencarral,40.4262741,-3.7009066999999995
35,Fuenlabrada,40.282476,-3.7923422
36,Fuente del Berro,40.424977,-3.6636998000000003
37,Getafe,40.3081807,-3.7302679
38,Guadarrama,40.6734454,-4.0893911
39,Hortaleza,40.4725491,-3.6425515000000006
40,Humanes de Madrid,40.2508847,-3.8270997
41,Justicia,40.4232759,-3.6966805000000003
42,Las Rozas De Madrid,40.4933095,-3.8758396000000004
43,Latina,40.391400000000004,-3.7576
44,Leganés,40.3281942,-3.76527
45,Loeches,40.3837901,-3.4092281
46,Los Santos De La Humosa,40.5012957,-3.2566803000000006
47,Lucero,40.4021568,-3.7511015
48,Majadahonda,40.473055,-3.8724138000000004
49,Meco,40.553746,-3.3281561
50,Mejorada del Campo,40.3971785,-3.4896068
51,Moralzarzal,40.6791436,-3.9720985
52,Moscardo,40.3890429,-3.7057718
53,Móstoles,40.3238525,-3.8649214
54,Numancia,40.3995283,-3.6596765
55,Opañel,40.3903949,-3.7221926
56,Orcasitas,40.3691419,-3.7098740999999995
57,Palacio,40.4153295,-3.7147092
58,Parla,40.2373952,-3.7718902
59,Peñagrande,40.4789641,-3.7258417
60,Pilar,40.4758,-3.709
61,Pinar del Rey,40.4724696,-3.6489612999999994
62,Pinto,40.240985,-3.7005072
63,Portazgo,40.3914367,-3.6481261
64,Pozuelo de Alarcón,40.4346528,-3.814834
65,Pueblo Nuevo,40.4268,-3.6365
66,Puerta Bonita,40.3813279,-3.7397503999999997
67,Puerta Del Ángel,40.4093544,-3.7337422
68,Rivas-Vaciamadrid,40.3536054,-3.5310879000000006
69,Rosas,40.4278,-3.6006
70,Salamanca,40.4316,-3.679
71,Salvador,40.4439,-3.6323
72,San Cristóbal,40.3409,-3.6885
73,San Diego,40.3881,-3.6677000000000004
74,San Fernando de Henares,40.4248548,-3.5350369
75,San Isidro,40.3952,-3.7293
76,San Martín de la Vega,40.2110462,-3.5771805999999997
77,San Sebastián de los Reyes,40.5473698,-3.6260586
78,Simancas,40.4362,-3.6248
79,Torrejón de Ardoz,40.4587767,-3.4793343
80,Torrelodones,40.5762809,-3.9286030000000003
81,Tres Cantos,40.6065826,-3.7065332999999994
82,Universidad,40.425426,-3.7060234
83,Valdeacederas,40.4679108,-3.7034226
84,Valdemoro,40.1888604,-3.67143
85,Valdezarza,40.4649542,-3.717074
86,Ventas,40.4310642,-3.6635419
87,Villa de Vallecas,40.3739576,-3.6121632
88,Villalbilla,40.4323665,-3.2987815
89,Villanueva del Pardillo,40.4949232,-3.9600065
90,Villaverde,40.3511231,-3.6997748
91,Villaviciosa de Odón,40.3573787,-3.9002333999999994
92,Vista Alegre,40.3852,-3.7454
93,adelfas,40.4019026,-3.6709579
94,chamberí,40.4389621,-3.705302
95,moratalaz,40.4059332,-3.6448737
96,pacífico,40.4039,-3.6786
97,vinateros,40.4051965,-3.6415466999999997
